scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
80,test_080_ood_rank_flip,ood_rank_flip,21,C_rich_generalist_e2e_best_of_64,16711.256056803566,0.8831136429998878
81,test_081_ood_extreme_single_boost,ood_extreme_single_boost,13,B_frozen_static_greedy,15476.166500000003,0.08822737499986033
81,test_081_ood_extreme_single_boost,ood_extreme_single_boost,13,D_frozen_static_best_of_64,15483.1185,1.5513015350002206
81,test_081_ood_extreme_single_boost,ood_extreme_single_boost,13,C_rich_generalist_e2e_best_of_64,16261.298082515968,1.0019957800000157
82,test_082_ood_top_reward_collapse,ood_top_reward_collapse,20,B_frozen_static_greedy,10618.803323614144,0.06077082199999495
82,test_082_ood_top_reward_collapse,ood_top_reward_collapse,20,D_frozen_static_best_of_64,10618.803323614144,1.4282159559998036
82,test_082_ood_top_reward_collapse,ood_top_reward_collapse,20,C_rich_generalist_e2e_best_of_64,12200.528750000001,0.8497347669999726
83,test_083_ood_high_cost_boost,ood_high_cost_boost,23,B_frozen_static_greedy,21949.369179287285,0.050804373000119085
83,test_083_ood_high_cost_boost,ood_high_cost_boost,23,D_frozen_static_best_of_64,21949.369179287285,1.3776074570000674
83,test_083_ood_high_cost_boost,ood_high_cost_boost,23,C_rich_generalist_e2e_best_of_64,21448.128815954915,0.8257166429998506
84,test_084_ood_budget_reallocation,ood_budget_reallocation,25,B_frozen_static_greedy,14235.152959870848,0.04012444699992557
84,test_084_ood_budget_reallocation,ood_budget_reallocation,25,D_frozen_static_best_of_64,14235.152959870848,1.3111058139998022
84,test_084_ood_budget_reallocation,ood_budget_reallocation,25,C_rich_generalist_e2e_best_of_64,16489.873204890086,0.7236644760000672
85,test_085_ood_rank_flip,ood_rank_flip,9,B_frozen_static_greedy,11153.274922793724,0.10370243799980017
85,test_085_ood_rank_flip,ood_rank_flip,9,D_frozen_static_best_of_64,11236.228052547613,1.6452459180000005
85,test_085_ood_rank_flip,ood_rank_flip,9,C_rich_generalist_e2e_best_of_64,15199.604745060065,1.0838314109996645
